"","MEgrey60","MElightcyan","MEblue","MEyellow","MEblack","MEmagenta","MEpink","MEcyan","MEred","MEbrown","MEgreen","MEsalmon","MEturquoise","MEmidnightblue","MEpurple"
"C2_W2_W15",0.0175080926473591,0.0208349930363033,-0.0100951057039317,0.0457070845218477,-0.137291002534552,-0.0967397988582481,0.0548473912941992,0.0434715265085188,-0.00586961225883847,0.0627957804952472,-0.065911506636945,0.020992901484014,0.165530864162818,-0.0084463848117376,-0.113637290136483
"C3_B3_W30",0.101198887477082,0.0429626686645074,-0.0233710048236165,0.0429096018949039,-0.0167536465173513,-0.035827356358613,-0.0320712147565303,-0.0442767724246444,0.125511539044934,-0.0010638355290949,-0.0633633138350983,0.0540396427463124,-0.0478583374888199,0.0538343619267794,0.168326889996
"C3_C2_W17",-0.119796516003385,0.133979801895643,0.164279738802566,0.124843964504932,-0.213302477953124,-0.097670767916618,-0.0539510178241998,-0.0557241854571701,-0.0903180793988867,0.0410103349422233,-0.13778557425681,-0.0352934383591713,-0.0624801605094079,-0.091020330141649,0.105061635523586
"C3_W3_W29",-0.220630468614477,-0.287961919193673,-0.211391534412397,-0.129606708069963,0.101723855813064,0.00132766530625478,-0.0138445549316802,-0.0315174600250234,-0.0253850508476447,0.0449658066761577,0.182827055706953,0.125230212589313,0.315088780326395,0.0132307679658668,0.14148183380412
"C4_B1_W07",-0.081877780264448,-0.100966731689335,-0.105224343894496,0.0093090987394078,0.0488423461100231,-0.0617693178388424,-0.0149810103669644,-0.0345694312878007,0.199236514730733,0.0269719029743621,0.00493524962254727,0.070391607893103,0.0880293032239915,0.152246660610516,0.183257803199689
"C4_B5_W56",-0.260416805330071,-0.1360087239388,0.0909826202086415,0.189953421337574,0.129013489429195,0.2878840790913,-0.0369896642391674,-0.024326061742878,-0.0580078833812989,-0.226717014920521,-0.198283722396111,-0.103502161388234,0.118124779430841,-0.00530617461679441,-0.0640347706022231
"C4_C6_W67",0.0891572601907926,0.0209977886279194,0.0219356551727276,-0.0242678408161079,0.0224164107332384,0.0302614965786315,0.0272531535495434,-0.0210121317854803,-0.0364017162229898,-0.0348866838579018,0.0242003272043365,0.0517469681885337,-0.0804167177117815,-0.00836166334595616,-0.0824679457782832
"C4_H5_W56",0.139287833202611,0.00015584865809178,-0.138415611859338,-0.142513061248358,-0.0146237869402514,-0.0595315934387798,-0.0343809577533893,-0.0538475216469402,-0.0660867336256994,0.118315447881267,0.160723672486691,0.161531577109876,-0.083412487481608,0.0396090928271872,0.22305208711684
"C5_B4_W46",0.0845299000765747,-0.0126535423799165,-0.0294417744281083,0.0481662154142192,0.201844585078373,0.0938357932823918,-0.0300352632267677,-0.0265593445780096,-0.0591223929534636,-0.0837993823126771,-8.84031774188996e-06,-0.242827600974896,-0.048066661359652,0.0883054263173409,-0.0861438087879599
"C5_C3_W33",-0.0400906463205733,0.185186718141805,0.150020269032063,0.122009105263282,-0.184147071791481,-0.0866775425022451,-0.0597572700518007,-0.0550256293259265,-0.0788791917355029,0.03640920417776,-0.234395050306165,-0.0571962445819087,-0.0635530355287249,-0.0278525560441491,0.119972351225305
"C5_W1_W09",0.0656709152911,0.0913182831414182,-0.00132898479868812,-0.0250444042577619,-0.108571255051258,-0.109113854259931,-0.047989860929759,-0.0419966107327341,-0.0794832012064348,0.117723027977544,-0.024440146504469,0.0684183341271552,-0.0673861413951213,-0.0101710344067385,0.153897681852622
"C5_W4_W45",0.0106554706141597,0.00363065833096793,0.046557817161102,-0.0973818696690476,-0.130055984092173,-0.0372042115377012,-0.0405859681228689,-0.0509268802176723,-0.0805110899389162,0.0404021062653213,-0.0052903012794842,0.044720861360855,0.142345081198012,-0.112695012050407,0.0636058082767945
"C6_B6_W71",0.0936950301694771,-0.0269449459858357,0.00800128256805966,0.0040360435794224,0.094993716931179,0.085384627464181,-0.0311622803438546,-0.0162844184768612,-0.0560348619905274,-0.108420844108775,-0.0128403463168596,0.00814575803961186,0.105946343017486,-0.0333266801840008,-0.0845075542820625
"C6_C5_W59",-0.00463631661990709,0.0813384471589942,0.0988338518484676,-0.0307560437181761,-0.163386348630057,-0.0633566038276156,0.0158908432676072,0.12017833251314,0.224811324348718,0.0684143181596443,-0.0497502565849408,0.0152824894503381,-0.0538371306350025,-0.104946603977224,-0.0698254087693072
"C6_H3_W36",-0.100394379962969,-0.109239258158892,0.0282592790050721,-0.132110309705983,0.0560923212492567,0.00560092327944258,-0.0481543031992493,-0.0541070030142205,-0.0615260438161667,-0.0085142928580959,0.0226496742926122,0.106219028285225,-0.0739106660435725,-0.0739747084937432,0.138961129046223
"C6_H4_W48",0.141474437834826,0.0453158757603195,0.0217126448104696,-0.135279285938723,0.0239621068988182,0.0208206960427355,-0.0463876695097103,-0.0207788209245772,-0.0626236977196488,0.000405030922427339,0.101862846786623,0.109824982659556,-0.0981002831524693,-0.0877449473272136,-0.0741844288775471
"C6_W6_W72",-0.0710345716906237,-0.126838558519381,-0.166928123243419,-0.0623377831630234,0.154981016987449,0.0132545358057503,-0.0161979294659905,-0.0165469913778788,-0.0365579350592202,0.0713576522485797,0.163581643441347,-0.0798731409117467,0.056283764370262,0.131131528136894,-0.070925903490691
