"","Sample","Phase1_treatment","Phase1_temp","Phase1_DO","Module","Eigengene"
"212","B6_Nu_O47","both","warm","hypoxic","MEgreen",0.329754134321304
"213","C1_Nu_W01","control","ambient","normoxic","MEgreen",-0.170325513453822
"214","C1_Nu_W05","control","ambient","normoxic","MEgreen",-0.0566816138629342
"215","C2_Nu_W15","control","ambient","normoxic","MEgreen",0.270620359155988
"216","C3_Nu_W21","control","ambient","normoxic","MEgreen",0.0415428999242104
"217","C4_Nu_W29","control","ambient","normoxic","MEgreen",-0.0989919865121766
"218","C6_Nu_W42","control","ambient","normoxic","MEgreen",-0.0814381082942537
"219","H1_Nu_B08","hypoxic","ambient","hypoxic","MEgreen",-0.123118148042982
"220","H2_Nu_B14","hypoxic","ambient","hypoxic","MEgreen",0.398337791206241
"221","H3_Nu_B18","hypoxic","ambient","hypoxic","MEgreen",-0.0871687723200285
"222","H4_Nu_B28","hypoxic","ambient","hypoxic","MEgreen",-0.0105141770753696
"223","H5_Nu_B35","hypoxic","ambient","hypoxic","MEgreen",0.181361709695451
"224","H6_Nu_B45","hypoxic","ambient","hypoxic","MEgreen",-0.143870436890318
"225","W1_Nu_G02","warm","warm","normoxic","MEgreen",0.317668681724706
"226","W2_Nu_G15","warm","warm","normoxic","MEgreen",-0.169888780703391
"227","W3_Nu_G21","warm","warm","normoxic","MEgreen",-0.358994246259701
"228","W4_Nu_G27","warm","warm","normoxic","MEgreen",0.117225032420084
"229","W6_Nu_G41","warm","warm","normoxic","MEgreen",-0.255720847041344
"230","W6_Nu_G45","warm","warm","normoxic","MEgreen",-0.0277721850820448
"231","B1_Nu_O03","both","warm","hypoxic","MEred",-0.0889505779823112
"232","B2_Nu_O12","both","warm","hypoxic","MEred",-0.0703019323441618
"233","B4_Nu_O32","both","warm","hypoxic","MEred",-0.0315901062899884
"234","B5_Nu_O36","both","warm","hypoxic","MEred",0.298534632142457
"235","B6_Nu_O47","both","warm","hypoxic","MEred",0.438028662381802
"236","C1_Nu_W01","control","ambient","normoxic","MEred",-0.00539296598078434
"237","C1_Nu_W05","control","ambient","normoxic","MEred",-0.115000654000849
"238","C2_Nu_W15","control","ambient","normoxic","MEred",0.0171863116087783
"239","C3_Nu_W21","control","ambient","normoxic","MEred",0.0781542084063315
"240","C4_Nu_W29","control","ambient","normoxic","MEred",0.00708975315840199
"241","C6_Nu_W42","control","ambient","normoxic","MEred",-0.399336274027396
"242","H1_Nu_B08","hypoxic","ambient","hypoxic","MEred",0.00799796265049441
"243","H2_Nu_B14","hypoxic","ambient","hypoxic","MEred",-0.0679498396083801
"244","H3_Nu_B18","hypoxic","ambient","hypoxic","MEred",-0.279208759176534
"245","H4_Nu_B28","hypoxic","ambient","hypoxic","MEred",0.0900269316692797
"246","H5_Nu_B35","hypoxic","ambient","hypoxic","MEred",0.364529068960424
"247","H6_Nu_B45","hypoxic","ambient","hypoxic","MEred",-0.149947436993358
"248","W1_Nu_G02","warm","warm","normoxic","MEred",0.28862303458386
"249","W2_Nu_G15","warm","warm","normoxic","MEred",-0.20420511764213
"250","W3_Nu_G21","warm","warm","normoxic","MEred",-0.297585960510866
"251","W4_Nu_G27","warm","warm","normoxic","MEred",0.0970890147186201
"252","W6_Nu_G41","warm","warm","normoxic","MEred",-0.15717382453486
"253","W6_Nu_G45","warm","warm","normoxic","MEred",0.179383868811169
