"","MEyellow","MEgreen","MEgreenyellow","MEpink","MEblue","MEturquoise","MEbrown","MEpurple","MEred","MEblack","MEmagenta"
"H3_Nu_B18",-0.0334914662484592,-0.167047978902258,-0.170474642933381,-0.167686710923626,-0.0173056167782771,-0.0500717611896883,0.171645351053339,0.163306782505405,0.123028860955538,0.188636728599379,-0.0151142071971761
"H3_W3_B30",0.0491046044968549,-0.0335266037781409,-0.172017760541908,0.0865997248898019,0.0123490059238482,-0.162015764053384,-0.0166826039237148,0.118999763356554,0.262378906672181,0.12319151631116,-0.0094279288834577
"H3_W6_B66",-0.106575055993959,-0.118676607784947,-0.0240759425002326,0.115038789871477,0.0998648795704659,0.101633394021149,-0.0953017322892738,0.113750019425094,-0.071054238028482,-0.0701809447892063,-0.0247948757430766
"H4_H2_B19",-0.0327173352716701,0.00195873008836562,0.00594360622025722,0.00924833733766072,0.0676107234041086,-0.0391134443393532,-0.024547163200856,0.0151039422936874,0.0230819244927074,0.0811061965944614,-0.0285502251958461
"H4_Nu_B28",0.148504179786947,0.10287058862021,0.0228426814250823,-0.144951711876807,-0.0763347020399729,-0.0981656746522749,0.0547620526025902,-0.111030048422909,0.0254048763058339,-0.0513109309932506,-0.0298689897475062
"H4_W1_B07",0.121544294208438,0.120731455834206,0.095994912525473,0.0934544927695496,-0.0888629185991106,-0.0354689147223594,-0.0778758030450772,-0.117940801738029,-0.0830805677574616,0.109697485958195,0.00730586100087816
"H5_B1_B09",0.0517453452433257,0.0233878797767779,0.00349854411153615,0.0790614897747469,-0.0387267636118547,-0.0113783309469961,-0.0724605088688088,-0.0131089848374108,-0.0132046456187847,-0.0337209035797207,0.218802348864703
"H5_B3_B34",0.030719671862102,0.0339116187699352,-0.027642332092586,0.107130766689065,0.0640996750422941,-0.0903967036644096,0.0269368668603269,0.00315919326751197,0.0500260317607569,-0.0488540116310984,-0.0166034961405733
"H5_C2_B22",-0.0873649571969249,0.0302944843315537,0.139554261694638,-0.0107473587718591,0.0566133410156794,0.133055820862793,-0.0764873360967512,-0.0813998393454419,-0.103113998303607,-0.0561623782197655,0.000680902010586809
"H5_C4_B46",-0.0118652771237999,-0.0430159725600978,0.00893812118191701,0.0267343461222302,-0.0397548381399642,0.0425245984800738,-0.0706633737217485,0.0115373587403702,-0.0650176053924712,0.185726783855445,-0.0340023583935374
"H5_Nu_B35",0.235257388321905,0.125261677623967,-0.00490097872725738,-0.110443737891115,-0.187938350109779,-0.177018197867813,-0.0592425136439554,-0.107858429161,0.10200885966227,0.0953982492998022,-0.025986611463523
"H6_C3_B36",-0.0610671823834521,0.0512527205559929,0.0929255516210091,-0.000253640599451096,0.0839914449699689,0.0979039593678927,0.0947694619973367,-0.102434220009047,-0.120083588237034,0.0170689083993632,0.0290205877274183
"H6_H3_B35",-0.0793692373784813,-0.0340893085865031,-0.000746434204564828,-0.013999798055483,0.0153982619959584,0.0617370811299627,-0.0781198309183253,0.0309210769849602,0.000761957459683955,-0.0663763444702286,-0.0403930778734832
"W1_C1_G02",0.00567453974900793,0.0551707388218879,0.0778330479778651,-0.00804058665626335,-0.0408945709227281,0.0736703119672766,0.127964627810963,-0.126478401832141,-0.133390260216553,-0.0599324746563889,-0.0303007009455408
"W1_C6_G61",-0.167362642051269,-0.207296350048113,-0.124924002777646,0.0557149441673698,0.130533221654364,0.0980729651828746,-0.0133994234772296,0.152824396973573,0.00267306385671969,0.120846974666687,-0.000386404185771706
"W1_H5_G49",-0.00396756092968954,0.0657059884649668,0.0834180948064482,0.0353681390098268,-0.025186070251895,0.0412841553036372,0.0134540534047394,-0.0692864336225065,-0.0770007973254331,-0.0262499799762607,-0.0291415732041564
