"","MEgreen","MEred","MEblue","MEmidnightblue","MEcyan","MEbrown","MEyellow","MEturquoise","MEpink","MEblack","MEtan","MEsalmon","MEgreenyellow","MEmagenta"
"W1_H5_G49",0.108656390147438,0.0529158142936257,0.0156499218501913,-0.135945016383676,0.0855233940883489,-0.0972305955000001,0.0301620532756148,0.023713472039963,-0.0510749026363889,-0.0317025465347275,-0.0581730794103441,-0.0495899853429084,-0.052966801899723,-0.0622660809829988
"W1_W1_G01",-0.0263284375374731,0.117873365856403,0.0106067454210359,0.0689102884371666,0.0532768552203158,0.098191911073184,0.0116233250114268,-0.0777959008293721,-0.0370629349884233,-0.0561258753894965,-0.0287121671837354,-0.090965298665684,-0.0752876196416922,-0.132998128324521
"W1_W6_G62",-0.0542435245384087,0.123499292318994,0.0241343527605516,-0.02135057182572,0.0450805706158733,0.0145159651538624,-0.0270248534550628,-0.0758191742484315,-0.0293824834628305,-0.0605083906305273,0.075574703272912,-0.0201822406055676,-0.03938809239845,-0.0575311424081962
"W2_B1_G04",-0.102426056238211,-0.0437372384786943,-0.273439953223509,-0.419270668331542,0.0448578152078112,0.277620588090706,-0.00881575016399421,0.153499080917926,0.00407164483334072,0.224468708744229,-0.0345189004935704,0.165962087113442,-0.0411888944338417,0.0705506520313176
"W2_B6_G64",-0.0865765036649987,-0.272178785662652,-0.0170706539512456,-0.103925447058366,-0.0993970876183149,-0.0394129100990028,0.078139796715829,0.0510131728688154,0.0544641518660977,0.122056315458878,0.29525866058617,-0.0181528982405863,0.282874635996964,0.187909352603002
"W2_C2_G15",-0.0728817124848559,0.119698182599395,-0.125498723085168,-0.0905135693208657,0.175323374728486,0.218945758061095,0.168174030586939,-0.0856745397068291,-0.0332194183972295,-0.0686089556742801,-0.0213207549373527,-0.155079737793511,-0.080089027543929,-0.172402695742878
"W3_B5_G54",-0.0633497100198841,0.0142738856267803,-0.0366528202301695,-0.0824669187449835,0.0112278252157765,0.0258620706313495,-0.0361449444826141,-0.0343646642540998,0.634893377415612,0.346661836825366,0.286948835975067,0.0428631323040662,0.00952769159027416,0.0296162836927194
"W3_C3_G29",-0.0809492494097993,0.0252590030572848,-0.0435022662065316,-0.0950030685526812,0.123742981460346,0.0441657867676118,0.0627366619671629,-0.0459506184009422,-0.0249218261690736,0.127618756898922,-0.0412014798838921,-0.103487496772899,-0.0107924008863961,-0.0650079606518744
"W3_H2_G18",-0.0166853217724072,0.0378195873517526,0.0690228626738906,0.0202986259671964,-0.0423711357021803,-0.0214430086572277,-0.0118006520765169,-0.0738633615611398,-0.0188187226759166,-0.0344132878425419,-0.0088689500000279,0.00099813078266235,-0.0378596760304767,-0.0353098646004225
"W3_H3_G30",0.103839868441161,-0.0197540230677582,-0.0114420775359082,0.0724248384357524,0.0475288467647384,-0.0529610729760218,0.0206847683476292,-0.0637130019388626,-0.0303773027685861,-0.0690812443844476,-0.0354175269735993,0.0565947520648908,-0.0399586204515237,0.0571749544831608
